movieId,imdbId,tmdbId
1,0114709,862
2,0113497,8844
3,0113228,15602
4,0114885,31357
5,0113041,11862
6,0113277,949
7,0114319,11860
8,0112302,45325
9,0114576,9091
10,0113189,710
11,0112346,9087
12,0112896,12110
13,0112453,21032
14,0113987,10858
15,0112760,1408
16,0112641,524
17,0114388,4584
18,0113101,5
19,0112281,9273
20,0113845,11517
21,0113161,8012
22,0112722,1710
23,0112401,9691
24,0114168,12665
25,0113627,451
26,0114057,16420
27,0114011,9263
28,0114117,17015
29,0112682,902
30,0115012,37557
31,0112792,9909
32,0114746,63
34,0112431,9598
36,0112818,687
38,0113442,33689
39,0112697,9603
40,0112749,34615
41,0114279,31174
42,0112819,11443
43,0114272,35196
44,0113855,9312
45,0114681,577
46,0113347,11861
47,0114369,807
48,0114148,10530
49,0114916,8391
50,0114814,629
52,0113819,11448
53,0110299,49133
54,0112499,26441
55,0113158,97406
57,0113321,9089
58,0110877,11010
60,0113419,11359
61,0116260,17182
62,0113862,2054
63,0116126,10607
64,0118002,19760
65,0115683,9536
66,0116839,11525
68,0113149,4482
69,0113118,10634
70,0116367,755
71,0113010,11859
72,0113537,28387
73,0113828,48750
74,0115644,20927
75,0115676,36929
76,0114367,9102
77,0113973,124626
78,0112744,27526
79,0116731,9623
80,0112445,46785
81,0114660,400
82,0112379,880
83,0114039,146599
85,0112365,8447
86,0118158,10534
87,0116151,17414
88,0115697,13997
89,0113972,2086
92,0117002,9095
93,0114825,12158
94,0115639,9283
95,0115759,9208
96,0113403,40154
97,0113247,406
99,0113283,63076
100,0115907,11062
101,0115734,13685
102,0117102,47475
103,0118040,2045
104,0116483,9614
105,0112579,688
106,0110251,11907
107,0117110,10874
108,0112646,89333
110,0112573,197
111,0075314,103
112,0113326,33542
113,0115645,43566
116,0112373,51352
117,0115033,16934
118,0116606,10324
119,0114536,78406
121,0106473,32119
122,0103859,11066
123,0109424,11104
125,0116324,2074
126,0110647,27793
128,0110217,290157
129,0114131,110972
132,0113451,11863
135,0116130,9101
137,0113756,5757
140,0118055,9302
141,0115685,11000
144,0112585,16388
145,0112442,9737
146,0112342,30765
147,0112461,10474
148,0112427,22279
149,0109093,30157
150,0112384,568
151,0114287,11780
152,0112288,34996
153,0112462,414
154,0061395,649
155,0112495,1873
156,0112541,5894
157,0109370,1775
158,0112642,8839
159,0112688,20649
160,0112715,10329
161,0112740,8963
162,0109508,26564
163,0112851,8068
164,0112857,8512
165,0112864,1572
166,0112887,13552
168,0113071,6520
169,0113114,9073
170,0113243,10428
171,0113464,17447
172,0113481,9886
173,0113492,9482
174,0113500,19326
175,0113540,9344
176,0113677,9071
177,0113690,8973
178,0107447,15730
179,0113729,47608
180,0113749,2293
181,0113820,9070
183,0110604,48787
184,0110620,34574
185,0113957,1642
186,0113986,11472
187,0114095,36196
188,0114194,11980
189,0114241,58372
190,0114323,32646
191,0114345,10533
193,0114436,10802
194,0114478,10149
195,0114496,18402
196,0114508,9348
198,0114558,281
199,0058450,5967
201,0114663,47939
202,0114702,36834
203,0114682,9090
204,0114781,3512
205,0114798,52856
206,0114805,77350
207,0114887,9560
208,0114898,9804
209,0114928,31611
210,0114938,65796
211,0109340,49805
212,0112602,26258
213,0111579,50797
214,0110882,19155
215,0112471,76
216,0112508,11017
217,0112438,37141
218,0112571,9382
219,0112757,6715
220,0112643,18256
222,0112679,22625
223,0109445,2292
224,0112883,1909
225,0109635,8984
227,0109676,4954
228,0112854,62488
229,0109579,10531
230,0109642,11929
231,0109686,8467
232,0111797,10451
233,0109759,20156
234,0109758,18395
235,0109707,522
236,0113117,397
237,0113097,10525
238,0113028,27985
239,0113198,15789
240,0113303,27303
241,0113089,21183
242,0109771,10954
243,0113199,47867
246,0110057,14275
247,0110005,1024
248,0110066,17207
249,0110116,13701
250,0110006,14819
251,0113360,32631
252,0110099,11777
253,0110148,628
254,0113463,87729
255,0110189,18713
256,0110216,6280
257,0113501,9061
258,0113538,37108
259,0113552,6071
260,0076759,11
261,0110367,9587
262,0113670,19101
263,0110296,49980
265,0103994,18183
266,0110322,4476
267,0110443,11008
269,0107566,32325
270,0110391,43742
271,0113691,28313
272,0110428,11318
273,0109836,3036
274,0113755,40490
275,0110538,24070
276,0110516,8986
277,0110527,10510
278,0113808,17402
279,0113896,38722
280,0113870,8438
281,0110684,11593
282,0110638,1945
283,0113967,39310
284,0117169,109560
285,0106402,56428
287,0110671,131957
288,0110632,241
289,0110737,9058
290,0110729,527
291,0114151,18220
292,0114069,6950
293,0110413,101
294,0114113,63020
295,0114210,2307
296,0110912,680
298,0105652,25296
299,0110889,40156
300,0110932,11450
